"Qty";"Value";"Device";"Package";"Parts";"Description";"PACKAGE";"PROD_ID";"VOLTAGE";
"1";"+";"CONNECTORSCREW_5MM";"SCREW_5MM";"CONN1";"Collection of holes/pads for testing/connecting";"";"";"";
"1";"-";"CONNECTORSCREW_5MM";"SCREW_5MM";"CONN2";"Collection of holes/pads for testing/connecting";"";"";"";
"1";"100uF";"CAP_POLPTH-5-2";"CAP-5-2";"C2";"Capacitor Polarized";"5-2";"";"25V";
"2";"10uF";"CAP0805";"0805-CAP";"C1, C3";"Capacitor";"0805";"";"25V";
"1";"10uF(DNP)";"CAP0805";"0805-CAP";"C4";"Capacitor";"0805";"";"25V";
"1";"1N4148";"DIODESOD";"SOD-323";"D1";"Diode";"";"DIO-09646";"";
"1";"6.7k";"RESISTOR0603";"0603-RES";"R1";"Resistor";"0603";"";"";
"1";"A3909LY";"A3909LY";"MSOP10";"U$1";"A3909 Dual Fuul Bridge Motor Driver";"";"";"";
"1";"CS";"SOLDER-BRIDGE0603";"SB-0603";"SB1";"";"0603";"";"";
"1";"GND";"CONNECTORSCREW_2.5MM";"SCREW_2.5MM";"CONN4";"Collection of holes/pads for testing/connecting";"";"";"";
"1";"IRFML8244";"MOSFET-NCHANNELBSS138";"SOT23";"Q1";"Common NMOSFET Parts";"";"TRANS-00830";"";
"1";"MB";"CONNECTORSCREW_2.5MM";"SCREW_2.5MM";"CONN6";"Collection of holes/pads for testing/connecting";"";"";"";
"1";"MB-V1-X1EDGE_SILK";"MB-V1-X1EDGE_SILK";"MB-V1-X1-EDGE";"U$2";"";"";"";"";
"1";"O1";"CONNECTORSCREW_2.5MM";"SCREW_2.5MM";"CONN5";"Collection of holes/pads for testing/connecting";"";"";"";
"1";"O2";"CONNECTORSCREW_2.5MM";"SCREW_2.5MM";"CONN7";"Collection of holes/pads for testing/connecting";"";"";"";
"1";"O3";"CONNECTORSCREW_2.5MM";"SCREW_2.5MM";"CONN8";"Collection of holes/pads for testing/connecting";"";"";"";
"1";"O4";"CONNECTORSCREW_2.5MM";"SCREW_2.5MM";"CONN9";"Collection of holes/pads for testing/connecting";"";"";"";
"1";"RED";"LED0603";"0603_LED";"L1";"";"";"";"";
"1";"VB";"CONNECTORSCREW_2.5MM";"SCREW_2.5MM";"CONN3";"Collection of holes/pads for testing/connecting";"";"";"";
